Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Pilot,RQ1: Reasons,RQ1: Study type,RQ1: Activities,RQ2: Data sources,RQ3: Techniques,RQ4: Information type
Seventh Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA 2008),2008,N. B. Harrison; P. Avgeriou,Analysis of Architecture Pattern Usage in Legacy System Architecture Documentation,10.1109/WICSA.2008.18,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459153,Yes,Yes,No,[Capture_architectural_knowledge][Achieve_quality_attributes],[Evaluate_approach],[architectural_analysis],[Architectural models],[qualitative_analysis],[architectural_solutions]
2009 6th IEEE International Working Conference on [::Mining::] [::Software::] [::Repositories::],2009,P. van de Laar,On the transfer of evolutionary couplings to industry,10.1109/MSR.2009.5069502,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5069502,Yes,Yes,No,[Support_architectural_program_comprehension][Achieve_quality_attributes][Support_software_process],[Evaluate_approach],[architectural_synthesis],[source code repository],[statistical_analysis],[metrics]
ECSA,2010,Ahmad Waqas KamalParis Avgeriou,Mining Relationships between the Participants of Architectural Patterns,10.1007/978-3-642-15114-9_34,http://link.springer.com/chapter/10.1007/978-3-642-15114-9_34,Yes,Yes,Yes,[Achieve_quality_attributes][Capture_architectural_knowledge],[Exploratory],[architectural_synthesis],[architecture_design_documentation],[qualitative_analysis],[architectural_solutions]
2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,G. Buchgeher; R. Weinreich,Automatic Tracing of Decisions to Architecture and Implementation,10.1109/WICSA.2011.16,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959698,Yes,Yes,No,[Save_manual_efforts][Capture_architectural_knowledge],[Evaluate_approach],[architectural_synthesis][architectural_evaluation],[system_logs],[model_analysis],[architectural_components][architectural_decisions_And_Rationale]
2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,E. Bouwers; J. P. Correia; A. v. Deursen; J. Visser,Quantifying the Analyzability of Software Architectures,10.1109/WICSA.2011.20,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959722,Yes,Yes,No,[Industrial_financial_costs][Achieve_quality_attributes],[Evaluate_approach],[architectural_evaluation],[source code repository],[code_analysis][statistical_analysis],[metrics]
2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,N. Brown; R. L. Nord; I. Ozkaya; M. Pais,Analysis and Management of Architectural Dependencies in Iterative Release Planning,10.1109/WICSA.2011.22,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959724,Yes,Yes,No,[Industrial_financial_costs][Support_software_process],[Exploratory],[architectural_analysis],[architecture_design_documentation][Requirements],[statistical_analysis],[metrics]
2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,M. Astekin; H. S??zer,Utilizing Clone Detection for Domain Analysis of Simulation Systems,10.1109/WICSA-ECSA.212.47,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337737,Yes,Yes,No,[Capture_architectural_knowledge][Support_Generalisability],[Exploratory],[architectural_analysis][architectural_synthesis],[source code repository],[code_analysis][qualitative_analysis][model_analysis],[architectural_solutions][architectural_components]
2012 9th IEEE Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2012,W. Hu; D. Han; A. Hindle; K. Wong,The build dependency perspective of Android's concrete architecture,10.1109/MSR.2012.6224270,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224270,Yes,Yes,No,[Capture_architectural_knowledge][Conformance_check],[Evaluate_approach],[architectural_analysis][architectural_evaluation],[Build_traces],[model_analysis],[architectural_components]
2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,J. Garcia; I. Krka; N. Medvidovic; C. Douglas,A Framework for Obtaining the Ground-Truth in Architectural Recovery,10.1109/WICSA-ECSA.212.48,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337738,Yes,Yes,Yes,[Support_software_process][Support_architectural_program_comprehension][Identify_and_resolve_issues_in_existing_system][Limitations_in_existing_tools][dearth_of_ground_truth],[Evaluate_approach],[architectural_analysis],[source code repository][architecture_design_documentation],[code_analysis][model_analysis][qualitative_analysis],[architectural_components]
2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,R. Weinreich; C. Miesbauer; G. Buchgeher; T. Kriechbaum,Extracting and Facilitating Architecture in Service-Oriented Software Systems,10.1109/WICSA-ECSA.212.16,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337764,Yes,Yes,No,[Industrial_financial_costs][Support_software_process][Support_architectural_program_comprehension][AK is in multiple sources],[Evaluate_approach],[architectural_analysis],[source code repository][bytecode],[code_analysis][bytecode_analysis][visualization],[architectural_components]
2012 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] and European Conference on [::Software::] [::Architecture::],2012,W. Heider; M. Vierhauser; D. Lettner; P. Gr?¨nbacher,A Case Study on the Evolution of a Component-based Product Line,10.1109/WICSA-ECSA.212.8,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337756,Yes,Yes,No,[Achieve_quality_attributes][Industrial_financial_costs][Support_software_process][Multidesciplinary],[Exploratory],Not mentioned,[Requirements][issues_tracking][meetings_protocols],[qualitative_analysis],[architectural_components]
2012 9th IEEE Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2012,V. Guana; F. Rocha; A. Hindle; E. Stroulia,Do the stars align? Multidimensional analysis of Android's layered architecture,10.1109/MSR.2012.6224269,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224269,Yes,Yes,No,[Industrial_financial_costs][team_distribution],[Exploratory],Not mentioned,[issues_tracking],[statistical_analysis],[architectural_components]
