ID,Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Pilot,RQ1: Data sources - From WHERE,RQ1: Data sources ,"RQ1: Data sources 
(Agreed)",RQ2: Reasons for MSR4SA ,RQ2: Reasons for MSR4SA,RQ2: motivation,RQ2.motivation Codes,RQ2.why_msr Codes,RQ2: High-level Tags,RQ2: why msr,RQ2: study type,RQ2.study_type,RQ2: study type (Agreed),RQ3: Architectural design activities WHAT FOR,RQ3: Architectural design activities,"RQ3: Architectural design activities 
(Agreed)",RQ4: Mining techniques - HOW,RQ4: Mining techniques,"RQ4: Mining techniques 
(Agreed)",RQ5: Type of information RETRIEVED,RQ5: Type of information,"RQ5: Type of information
(Agreed)",,,,,,,,,
400,Seventh Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA 2008),2008,A. Molesini; A. Garcia; C. v. F. G. Chavez; T. Batista,On the Quantitative Analysis of Architecture Stability in Aspectual Decompositions,10.1109/WICSA.2008.26,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459141,Yes,Yes,Yes,[aspect_oriented_architectures][adl][from_CMS_conference],,,,,,[aspect-oriented_software_architecture][impact][architectural_design_stability],[same_system][architecture_evolution],,,,[exploratory],,[architectural_analysis][architectural_evaluation],,,[systematic_analysis][qualitative_analysis],,,[architectural_design][blackboard],,,,,,,,,,,
406,Seventh Working IEEE/IFIP Conference on [::Software::] [::Architecture::] (WICSA 2008),2008,N. B. Harrison; P. Avgeriou,Analysis of Architecture Pattern Usage in Legacy System Architecture Documentation,10.1109/WICSA.2008.18,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459153,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,ECSA,2008,Banani RoyT. C. Nicholas Graham,An Iterative Framework for Software Architecture Recovery: An Experience Report,10.1007/978-3-540-88030-1_16,http://link.springer.com/chapter/10.1007/978-3-540-88030-1_16,Yes,Yes,No,,,,,"""Legacy software systems often lack adequate architectural documentation.When present at all, architectural documentation is often inconsistent with the current state of the system""
""make it difficult 
to bring new developers into the project""",,,,,,,,,,[architectural_analysis],,,,,,,,,,,,,,,,
571,2009 6th IEEE International Working Conference on [::Mining::] [::Software::] [::Repositories::],2009,P. van de Laar,On the transfer of evolutionary couplings to industry,10.1109/MSR.2009.5069502,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5069502,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2009 Joint Working IEEE/IFIP Conference on [::Software::] [::Architecture::] & European Conference on [::Software::] [::Architecture::],2009,N. A. Aboud; G. Arevalo; J. Falleri; M. Huchard; C. Tibermacine; C. Urtado; S. Vauttier,Automated architectural component classification using concept lattices,10.1109/WICSA.2009.5290788,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5290788,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,ECSA,2010,Sylvain ChardignyAbdelhak Seriai,Software Architecture Recovery Process Based on Object-Oriented Source Code and Documentation,10.1007/978-3-642-15114-9_35,http://link.springer.com/chapter/10.1007/978-3-642-15114-9_35,Yes,Yes,Yes,[source_code],,,,,,[poor_documentation][legacy_systems][lack_dev_doc_synchronization],[architecture_extraction][documentation_conformance],[Support_architectural_program_comprehension][Identify_and_resolve_issues_in_existing_system],,,[exploratory],,[architectural_analysis],,,[search_based_approach][entities_relationship][semi_automatic][clustering],,,[architecture_model],,,,,,,,,,,
302,ECSA,2010,Ahmad Waqas KamalParis Avgeriou,Mining Relationships between the Participants of Architectural Patterns,10.1007/978-3-642-15114-9_34,http://link.springer.com/chapter/10.1007/978-3-642-15114-9_34,Yes,Yes,Yes,[architecture_design_documentation][architecture_diagrams][industrial_case_studies],Architecture documentations / descriptions (32 systems),[architecture_design_documentation],,"""a) reusability by providing a vocabulary of pattern-to-pattern relationships that help combine the participants of selected architectural patterns; b) model validation support by ensuring that the patterns are correctly combined within a software architecture.""
""Architectural patterns are seldom applied in isolation within a software architecture: individual architectural patterns can only solve specific parts of the design problem; it takes a combination of patterns to cover all the requirements.""
Exploratory",[support reusability][support model validation][Identify relationship between patterns],[requirement_coverage][combined_architectural_patterns],[existing_documentation],[Achieve_quality_attributes][Capture_architectural_knowledge],[discompose solution],[Exploratory],[exploraroty],[Exploratory],[architectural_synthesis],Architectural synthesis and evaluation,[architectural_synthesis][architectural_evaluation],[manual_analysis][qualitative],Qualitative analysis,[qualitative_analysis],[architecture_model][patterns_relationship],Architectural patterns and their relationships,[patterns_relationship][architectural_patterns][architectural_solutions],,,,,,,,,
561,2010 7th IEEE Working Conference on [::Mining::] [::Software::] [::Repositories::] (MSR 2010),2010,D. Posnett; C. Bird; P. Devanbu,THEX: Mining metapatterns from java,10.1109/MSR.2010.5463349,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463349,Yes,Yes,Yes,[bytecode][source_code],bytecode (1 system),,,,,[large_projects][frequent_changes][minimize_quality_impact][metapatterns],[information_in_source_code],,,,[exploratory],,[architectural_synthesis][architectural_evaluation],,,[bytecode_static_analysis],,,[metapatterns_taxonomy],,,,,,,,,,,
311,2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,G. Buchgeher; R. Weinreich,Automatic Tracing of Decisions to Architecture and Implementation,10.1109/WICSA.2011.16,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959698,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2011 Ninth Working IEEE/IFIP Conference on [::Software::] [::Architecture::],2011,M. T. Su; J. Hosking; J. Grundy,Capturing Architecture Documentation Navigation Trails for Content Chunking and Sharing,10.1109/WICSA.2011.41,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959779,Yes,Yes,Yes,[documentation][wiki_pages],,,,,,[stakeholders][different_interest][partial_AD][chunked_architecture],[public_documentation][group_information],,,,[exploratory],,[architectural_analysis],,,[matlab_analysis][duplicate_detection][model_slicing][cohesion/coupling_metrics],,,[architecture_model],,,,,,,,,,,
