ID,Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Included?
1,ECSA,2020,Siamak FarshidiSlinger Jansen,A Decision Support System for Pattern-Driven Software Architecture,10.1007/978-3-030-59155-7_6,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_6,No,Yes,No
2,ECSA,2020,Sebastian FrankAndrÇ van Hoorn,SQuAT-Vis: Visualization and Interaction in Software Architecture Optimization,10.1007/978-3-030-59155-7_9,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_9,No,Yes,No
3,ECSA,2020,Jasmin Jahi?Robin Roitsch,State of the Practice Survey: Predicting the Influence of AI Adoption on System Software Architecture in Traditional Embedded Systems,10.1007/978-3-030-59155-7_12,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_12,No,Yes,No
4,ECSA,2020,Jason MashinchiJavier C†mara,Voyager: Software Architecture Trade-off Explorer,10.1007/978-3-030-59155-7_5,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_5,No,Yes,No
5,ECSA,2020,Bahar SchwichtenbergGregor Engels,SecoArc: A Framework for Architecting Healthy Software Ecosystems,10.1007/978-3-030-59155-7_8,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_8,No,Yes,No
6,ECSA,2020,Chinmaya DehuryPelle JakovitsSatish Narayana SriramaVasilis TountopoulosGiorgos Giotis,Data Pipeline Architecture for Serverless Platform,10.1007/978-3-030-59155-7_18,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_18,No,Yes,No
7,ECSA,2020,Mubashir Ali,Big Data and Machine Intelligence in Software Platforms for Smart Cities,10.1007/978-3-030-59155-7_2,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_2,No,Yes,No
8,ECSA,2020,Thomas KuhnPablo Oliveira AntoninoAdam Bachorek,A Simulator Coupling Architecture for the Creation of Digital Twins,10.1007/978-3-030-59155-7_25,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_25,No,Yes,No
9,ECSA,2020,Thomas KuhnPablo Oliveira AntoninoFrank Schnicke,Industrie 4.0 Virtual Automation Bus Architecture,10.1007/978-3-030-59155-7_34,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_34,No,Yes,No
10,ECSA,2020,Eoin Martino GruaMartina De SanctisPatricia Lago,A Reference Architecture for Personalized and Self-adaptive e-Health Apps,10.1007/978-3-030-59155-7_15,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_15,No,Yes,No
11,ECSA,2020,Boris PÇrez,A Semiautomatic Approach to Identify Architectural Technical Debt from Heterogeneous Artifacts,10.1007/978-3-030-59155-7_1,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_1,No,Yes,No
12,ECSA,2020,Frank SchnickeThomas KuhnPablo Oliveira Antonino,Enabling Industry 4.0 Service-Oriented Architecture Through Digital Twins,10.1007/978-3-030-59155-7_35,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_35,No,Yes,No
13,ECSA,2020,Federico Quin,Systematic Approach to Engineer Decentralized Self-adaptive Systems,10.1007/978-3-030-59155-7_4,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_4,No,Yes,No
14,ECSA,2020,Asfand YarAkram IdaniSimon Collart-Dutilleul,Merging Railway Standard Notations in a Formal DSL-Based Framework,10.1007/978-3-030-59155-7_30,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_30,No,Yes,No
15,ECSA,2020,Sandro SpethUwe BreitenbÅcherSteffen Becker,Gropius ? A Tool for Managing Cross-component Issues,10.1007/978-3-030-59155-7_7,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_7,Yes,Yes,Yes
16,ECSA,2020,Hariharan ThiagarajanJohn HatcliffRobby,Awas: AADL Information Flow and Error Propagation Analysis Framework,10.1007/978-3-030-59155-7_23,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_23,No,Yes,No
17,ECSA,2020,Ivan KotegovAntonio Filieri,Towards Coordinated Autoscaling and Application Brownout at the Orchestrator Level,10.1007/978-3-030-59155-7_21,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_21,No,Yes,No
18,ECSA,2020,An?e LuzarSa?o StanovnikMatija Cankar,Examination and Comparison of TOSCA Orchestration Tools,10.1007/978-3-030-59155-7_19,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_19,No,Yes,No
19,ECSA,2020,Friederike DollingerRinat AsmusMarc Dreiser,System Health Indicators in Mixed Criticality E/E Systems in Automated Driving Context,10.1007/978-3-030-59155-7_36,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_36,No,Yes,No
20,ECSA,2020,Roy JamilEmmanuel GrolleauBernard DautrevauxAntoine Bertout,Measurement-Based Timing Analysis on Heterogeneous MPSoCs: A Practical Approach,10.1007/978-3-030-59155-7_22,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_22,No,Yes,No
21,ECSA,2020,Matija CankarAn?e LuzarDamian A. Tamburri,Auto-scaling Using TOSCA Infrastructure as Code,10.1007/978-3-030-59155-7_20,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_20,No,Yes,No
22,ECSA,2020,Justus BognerStefan WagnerAlfred Zimmermann,Collecting Service-Based Maintainability Metrics from RESTful API Descriptions: Static Analysis and Threshold Derivation,10.1007/978-3-030-59155-7_16,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_16,No,Yes,No
23,ECSA,2020,Sonya VonevaManar MazkatliJohannes GrohmannAnne Koziolek,Optimizing Parametric Dependencies for Incremental Performance Model Extraction,10.1007/978-3-030-59155-7_17,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_17,No,Yes,No
24,ECSA,2020,Markus FrankAlireza HakamianStefen Becker,Defining a Formal Semantic for Parallel Patterns in the Palladio Component Model Using Hierarchical Queuing Petri Nets,10.1007/978-3-030-59155-7_28,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_28,No,Yes,No
25,ECSA,2020,Ion BarosanArash Arjmandi BasmenjSudhanshu G. R. ChouhanDavid Manrique,Development of a Virtual Simulation Environment and a Digital Twin of an Autonomous Driving Truck for a Distribution Center,10.1007/978-3-030-59155-7_39,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_39,No,Yes,No
26,ECSA,2020,Daniel Matusek,Decentralized Self-adaptation in Large-Scaled Systems of Systems,10.1007/978-3-030-59155-7_3,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_3,No,Yes,No
27,ECSA,2020,Niranjana DeshpandeNaveen Sharma,Composition Algorithm Adaptation in Service Oriented Systems,10.1007/978-3-030-59155-7_13,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_13,No,Yes,No
28,ECSA,2020,Elvinia RiccobenePatrizia Scandurra,Model-Based Simulation at Runtime with Abstract State Machines,10.1007/978-3-030-59155-7_29,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_29,No,Yes,No
29,ECSA,2020,Barbora BuhnovaLucia Happe,Girl-Friendly Computer Science Classroom: Czechitas Experience Report,10.1007/978-3-030-59155-7_10,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_10,No,No,No
30,ECSA,2020,Ana PetrovskaPatricia GoldbergAnne BrÅggemann-KleinAnne Nyokabi,Mining Gender Bias: A Preliminary Study on Implicit Biases and Gender Identity in the Department of Computer Science at the Technical University of Munich,10.1007/978-3-030-59155-7_11,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_11,No,No,No
31,ECSA,2020,Matteo Camilli,Continuous Formal Verification of Microservice-Based Process Flows,10.1007/978-3-030-59155-7_31,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_31,No,Yes,No
32,ECSA,2020,Mai AbusairMohammad SharafAntinisca Di MarcoPaola Inverardi,A Statistical Approach for Context-Awareness of Mobile Applications,10.1007/978-3-030-59155-7_14,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_14,No,Yes,No
33,ECSA,2020,Bjîrn LeanderAida ?au?evi?Hans HanssonTomas Lindstrîm,Access Control for Smart Manufacturing Systems,10.1007/978-3-030-59155-7_33,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_33,No,Yes,No
34,ECSA,2020,Thomas HutzelmannDominik MaukschAlexander Pretschner,How to Conduct Experiments with a Real Car? Experiences and Practical Guidelines,10.1007/978-3-030-59155-7_37,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_37,No,Yes,No
