ID,Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Included?,Ivano's notes,Mohamed?s answer
1,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,W. Zhu; M. W. Godfrey,Mea culpa: How developers fix their own simple bugs differently from other developers,10.1109/MSR52588.2021.00065,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463125,Yes,No,No,,
2,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,T. Sharma; M. Kessentini,QScored: A Large Dataset of Code Smells and Quality Metrics,10.1109/MSR52588.2021.00080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463095,Yes,No,No,,
3,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,P. Sri-iesaranusorn; R. G. Kula; T. Ishio,Does Code Review Promote Conformance? A Study of OpenStack Patches,10.1109/MSR52588.2021.00056,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463066,Yes,No,No,,
4,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,E. Lyulina; M. Jahanshahi,Building the Collaboration Graph of Open-Source Software Ecosystem,10.1109/MSR52588.2021.00086,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463070,Yes,No,No,,
5,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,L. Quaranta; F. Calefato; F. Lanubile,KGTorrent: A Dataset of Python Jupyter Notebooks from Kaggle,10.1109/MSR52588.2021.00072,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463068,Yes,No,No,,
6,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,A. Imam; T. Dey,Tracking Hackathon Code Creation and Reuse,10.1109/MSR52588.2021.00085,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463076,Yes,No,No,,
7,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,F. Madeiral; T. Durieux,A large-scale study on human-cloned changes for automated program repair,10.1109/MSR52588.2021.00064,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463147,Yes,No,No,,
8,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,M. S. Yong; L. Paganini; H. S. Qiu; J. B. Santiago Calder??n,The Diversity-Innovation Paradox in Open-Source Software,10.1109/MSR52588.2021.00089,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463124,Yes,No,No,,
9,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,M. Hammoudi; C. Mayr-Dorn; A. Mashkoor; A. Egyed,A Traceability Dataset for Open Source Systems,10.1109/MSR52588.2021.00073,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463088,Yes,No,No,,
10,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,D. Reid; K. Eng; C. Bogart; A. Tutko,Tracing Vulnerable Code Lineage,10.1109/MSR52588.2021.00087,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463067,Yes,No,No,,
11,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,J. Walden; N. Burgin; K. Kaur,An Exploratory Study of Project Activity Changepoints in Open Source Software Evolution,10.1109/MSR52588.2021.00088,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463069,Yes,No,No,,
12,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,A. M. Mir; E. Latoè≠kinas; G. Gousios,ManyTypes4Py: A Benchmark Python Dataset for Machine Learning-based Type Inference,10.1109/MSR52588.2021.00079,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463150,Yes,No,No,,
13,2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,M. Papoutsoglou; J. Wachs; G. M. Kapitsaki,Mining DEV for social and technical insights about software development,10.1109/MSR52588.2021.00053,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463115,Yes,No,No,,
